"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Amyelois.transitella_PA1_RUN2_ANN","PA1","RUN2","ANN","KAPPA",901,58.333,97.001,0.466,-0.091,NA
"Amyelois.transitella_PA1_RUN2_FDA","PA1","RUN2","FDA","TSS",333,86.111,84.178,0.701,0.03,NA
"Amyelois.transitella_PA1_RUN2_FDA","PA1","RUN2","FDA","AUCroc",333.5,86.111,84.178,0.922,0.705,NA
"Amyelois.transitella_PA1_RUN2_FDA","PA1","RUN2","FDA","KAPPA",760,52.778,98.656,0.543,0.133,NA
"Amyelois.transitella_PA1_RUN2_GAM","PA1","RUN2","GAM","TSS",687,100,97.415,0.974,0.061,NA
"Amyelois.transitella_PA1_RUN2_GAM","PA1","RUN2","GAM","AUCroc",686,100,97.415,0.992,0.514,NA
"Amyelois.transitella_PA1_RUN2_GAM","PA1","RUN2","GAM","KAPPA",889,86.111,98.656,0.766,0.086,NA
"Amyelois.transitella_PA1_RUN2_GBM","PA1","RUN2","GBM","TSS",500.5,100,97.208,0.972,0.273,NA
"Amyelois.transitella_PA1_RUN2_GBM","PA1","RUN2","GBM","AUCroc",502.5,100,97.208,0.993,0.793,NA
"Amyelois.transitella_PA1_RUN2_GBM","PA1","RUN2","GBM","KAPPA",748,75,99.173,0.752,0.462,NA
"Amyelois.transitella_PA1_RUN2_MARS","PA1","RUN2","MARS","TSS",600,94.444,93.071,0.875,0.061,NA
"Amyelois.transitella_PA1_RUN2_MARS","PA1","RUN2","MARS","AUCroc",596.5,94.444,93.071,0.969,0.558,NA
"Amyelois.transitella_PA1_RUN2_MARS","PA1","RUN2","MARS","KAPPA",918,58.333,97.104,0.508,0.135,NA
"Amyelois.transitella_PA1_RUN2_MAXNET","PA1","RUN2","MAXNET","TSS",325,88.889,90.693,0.795,0.152,NA
"Amyelois.transitella_PA1_RUN2_MAXNET","PA1","RUN2","MAXNET","AUCroc",328,88.889,90.796,0.949,0.713,NA
"Amyelois.transitella_PA1_RUN2_MAXNET","PA1","RUN2","MAXNET","KAPPA",684,52.778,99.276,0.601,0.25,NA
"Amyelois.transitella_PA1_RUN2_RF","PA1","RUN2","RF","TSS",272,100,99.483,0.995,0.152,NA
"Amyelois.transitella_PA1_RUN2_RF","PA1","RUN2","RF","AUCroc",269,100,99.483,1,0.65,NA
"Amyelois.transitella_PA1_RUN2_RF","PA1","RUN2","RF","KAPPA",383,97.222,100,0.985,0.259,NA
"Amyelois.transitella_PA1_RUN2_SRE","PA1","RUN2","SRE","TSS",505,80.556,89.038,0.696,0.091,NA
"Amyelois.transitella_PA1_RUN2_SRE","PA1","RUN2","SRE","AUCroc",500,80.556,89.038,0.848,0.545,NA
"Amyelois.transitella_PA1_RUN2_SRE","PA1","RUN2","SRE","KAPPA",505,80.556,89.038,0.299,0.077,NA
"Amyelois.transitella_PA1_RUN2_XGBOOST","PA1","RUN2","XGBOOST","TSS",475,100,88.108,0.881,0.182,NA
"Amyelois.transitella_PA1_RUN2_XGBOOST","PA1","RUN2","XGBOOST","AUCroc",621.5,97.222,88.521,0.965,0.758,NA
"Amyelois.transitella_PA1_RUN2_XGBOOST","PA1","RUN2","XGBOOST","KAPPA",803,61.111,97.622,0.524,0.415,NA
"Amyelois.transitella_PA1_RUN3_CTA","PA1","RUN3","CTA","TSS",384,97.143,87.76,0.849,0.1,NA
"Amyelois.transitella_PA1_RUN3_CTA","PA1","RUN3","CTA","AUCroc",384,97.143,87.76,0.943,0.589,NA
"Amyelois.transitella_PA1_RUN3_CTA","PA1","RUN3","CTA","KAPPA",824,77.143,93.552,0.416,0.103,NA
"Amyelois.transitella_PA1_RUN3_ANN","PA1","RUN3","ANN","TSS",648,88.571,93.552,0.821,0.325,NA
"Amyelois.transitella_PA1_RUN3_ANN","PA1","RUN3","ANN","AUCroc",647.5,88.571,93.552,0.933,0.746,NA
"Amyelois.transitella_PA1_RUN3_ANN","PA1","RUN3","ANN","KAPPA",901,65.714,98.142,0.598,0.168,NA
"Amyelois.transitella_PA1_RUN3_FDA","PA1","RUN3","FDA","TSS",423,77.143,94.973,0.721,0.22,NA
"Amyelois.transitella_PA1_RUN3_FDA","PA1","RUN3","FDA","AUCroc",371.5,88.571,83.497,0.924,0.7,NA
"Amyelois.transitella_PA1_RUN3_FDA","PA1","RUN3","FDA","KAPPA",485,57.143,98.251,0.567,0.16,NA
"Amyelois.transitella_PA1_RUN3_GAM","PA1","RUN3","GAM","TSS",707,100,97.158,0.972,0.015,NA
"Amyelois.transitella_PA1_RUN3_GAM","PA1","RUN3","GAM","AUCroc",707.5,100,97.158,0.99,0.584,NA
"Amyelois.transitella_PA1_RUN3_GAM","PA1","RUN3","GAM","KAPPA",853.5,88.571,98.033,0.726,0.019,NA
"Amyelois.transitella_PA1_RUN3_GBM","PA1","RUN3","GBM","TSS",497,100,97.596,0.976,0.419,NA
"Amyelois.transitella_PA1_RUN3_GBM","PA1","RUN3","GBM","AUCroc",495,100,97.596,0.995,0.737,NA
"Amyelois.transitella_PA1_RUN3_GBM","PA1","RUN3","GBM","KAPPA",723,74.286,99.672,0.806,0.063,NA
"Amyelois.transitella_PA1_RUN3_MARS","PA1","RUN3","MARS","TSS",523,91.429,90.055,0.843,0.397,NA
"Amyelois.transitella_PA1_RUN3_MARS","PA1","RUN3","MARS","AUCroc",522.5,94.286,90.055,0.961,0.799,NA
"Amyelois.transitella_PA1_RUN3_MARS","PA1","RUN3","MARS","KAPPA",965,42.857,99.454,0.533,0.067,NA
"Amyelois.transitella_PA1_RUN3_MAXNET","PA1","RUN3","MAXNET","TSS",309,82.857,89.617,0.753,0.341,NA
"Amyelois.transitella_PA1_RUN3_MAXNET","PA1","RUN3","MAXNET","AUCroc",307.5,85.714,89.617,0.946,0.847,NA
"Amyelois.transitella_PA1_RUN3_MAXNET","PA1","RUN3","MAXNET","KAPPA",643,51.429,98.689,0.538,0.247,NA
"Amyelois.transitella_PA1_RUN3_RF","PA1","RUN3","RF","TSS",294,100,99.891,0.999,0.169,NA
"Amyelois.transitella_PA1_RUN3_RF","PA1","RUN3","RF","AUCroc",293,100,99.891,1,0.751,NA
"Amyelois.transitella_PA1_RUN3_RF","PA1","RUN3","RF","KAPPA",294,100,99.891,0.985,0.139,NA
"Amyelois.transitella_PA1_RUN3_SRE","PA1","RUN3","SRE","TSS",505,77.143,87.104,0.642,0.218,NA
"Amyelois.transitella_PA1_RUN3_SRE","PA1","RUN3","SRE","AUCroc",500,77.143,87.104,0.821,0.609,NA
"Amyelois.transitella_PA1_RUN3_SRE","PA1","RUN3","SRE","KAPPA",505,77.143,87.104,0.256,0.132,NA
"Amyelois.transitella_PA1_RUN3_XGBOOST","PA1","RUN3","XGBOOST","TSS",394,94.286,91.038,0.853,0.101,NA
"Amyelois.transitella_PA1_RUN3_XGBOOST","PA1","RUN3","XGBOOST","AUCroc",393,94.286,91.038,0.973,0.64,NA
"Amyelois.transitella_PA1_RUN3_XGBOOST","PA1","RUN3","XGBOOST","KAPPA",796,65.714,98.033,0.589,0.16,NA
"Amyelois.transitella_PA1_RUN4_CTA","PA1","RUN4","CTA","TSS",438,100,23.129,0.231,-0.081,NA
"Amyelois.transitella_PA1_RUN4_CTA","PA1","RUN4","CTA","AUCroc",433.5,100,23.129,0.616,0.459,NA
"Amyelois.transitella_PA1_RUN4_CTA","PA1","RUN4","CTA","KAPPA",438,100,23.129,0.104,-0.002,NA
"Amyelois.transitella_PA1_RUN4_ANN","PA1","RUN4","ANN","TSS",433,91.429,40.136,0.316,-0.116,NA
"Amyelois.transitella_PA1_RUN4_ANN","PA1","RUN4","ANN","AUCroc",433,91.429,40.136,0.699,0.543,NA
"Amyelois.transitella_PA1_RUN4_ANN","PA1","RUN4","ANN","KAPPA",584,34.286,89.796,0.264,0.094,NA
"Amyelois.transitella_PA1_RUN4_FDA","PA1","RUN4","FDA","TSS",449,57.143,97.279,0.544,0.204,NA
"Amyelois.transitella_PA1_RUN4_FDA","PA1","RUN4","FDA","AUCroc",416.5,77.143,78.912,0.839,0.674,NA
